|date|rank|team|current_value|1_yr_value_change|debt_value|revenue_M|operating_income_M
0|2016|#1 |New York Knicks|$3 B|20%|0%|$307 M|$108.9 M
1|2016|#2 |Los Angeles Lakers|$2.7 B|4%|1%|$304 M|$133.4 M
2|2016|#3 |Chicago Bulls|$2.3 B|15%|2%|$228 M|$67.6 M
3|2016|#4 |Boston Celtics|$2.1 B|24%|8%|$181 M|$57.4 M
4|2016|#5 |Los Angeles Clippers|$2 B|25%|0%|$176 M|$20.6 M
5|2016|#6 |Golden State Warriors|$1.9 B|46%|13%|$201 M|$57.6 M
6|2016|#7 |Brooklyn Nets|$1.7 B|13%|15%|$220 M|$-5.7 M
7|2016|#8 |Houston Rockets|$1.5 B|20%|7%|$237 M|$74.6 M
8|2016|#9 |Dallas Mavericks|$1.4 B|22%|8%|$177 M|$24.3 M
9|2016|#10 |Miami Heat|$1.3 B|11%|7%|$180 M|$20.8 M
10|2016|#11 |San Antonio Spurs|$1.15 B|15%|7%|$170 M|$31.9 M
11|2016|#12 |Cleveland Cavaliers|$1.1 B|20%|18%|$191 M|$24.8 M
12|2016|#13 |Phoenix Suns|$1 B|10%|18%|$154 M|$21.8 M
13|2016|#14 |Toronto Raptors|$980 M|7%|12%|$163 M|$23.5 M
14|2016|#15 |Portland Trail Blazers|$975 M|4%|11%|$157 M|$4.1 M
15|2016|#16 |Washington Wizards|$960 M|7%|14%|$146 M|$2.9 M
16|2016|#17 |Oklahoma City Thunder|$950 M|2%|15%|$157 M|$20.9 M
17|2016|#18 |Sacramento Kings|$925 M|16%|25%|$141 M|$4.2 M
18|2016|#19 |Orlando Magic|$900 M|3%|17%|$143 M|$35.4 M
19|2016|#20 |Utah Jazz|$875 M|3%|9%|$146 M|$27.5 M
20|2016|#21 |Denver Nuggets|$855 M|0%|0%|$140 M|$26.3 M
21|2016|#22 |Detroit Pistons|$850 M|5%|22%|$154 M|$16 M
22|2016|#23 |Indiana Pacers|$840 M|1%|18%|$138 M|$19 M
23|2016|#24 |Atlanta Hawks|$825 M|0%|30%|$142 M|$7 M
24|2016|#25 |Memphis Grizzlies|$780 M|4%|22%|$147 M|$10.3 M
25|2016|#26 |Charlotte Hornets|$750 M|3%|20%|$142 M|$3.7 M
26|2016|#27 |Minnesota Timberwolves|$720 M|15%|14%|$146 M|$15.1 M
27|2016|#28 |Philadelphia 76ers|$700 M|0%|21%|$124 M|$13.9 M
28|2016|#29 |Milwaukee Bucks|$675 M|12%|26%|$126 M|$11.6 M
29|2016|#30 |New Orleans Pelicans|$650 M|0%|19%|$142 M|$19.7 M
30|2017|#1 |New York Knicks|$3.3 B|10%|0%|$376 M|$141.2 M
31|2017|#2 |Los Angeles Lakers|$3 B|11%|1%|$333 M|$119.2 M
32|2017|#3 |Golden State Warriors|$2.6 B|37%|10%|$305 M|$74.2 M
33|2017|#4 |Chicago Bulls|$2.5 B|9%|2%|$232 M|$45.5 M
34|2017|#5 |Boston Celtics|$2.2 B|5%|7%|$200 M|$60.1 M
35|2017|#6 |Los Angeles Clippers|$2 B|0%|0%|$185 M|$-11.8 M
36|2017|#7 |Brooklyn Nets|$1.8 B|6%|14%|$223 M|$15.7 M
37|2017|#8 |Houston Rockets|$1.65 B|10%|8%|$244 M|$62.7 M
38|2017|#9 |Dallas Mavericks|$1.45 B|4%|8%|$194 M|$40.3 M
39|2017|#10 |Miami Heat|$1.35 B|4%|5%|$210 M|$21.1 M
40|2017|#11 |Cleveland Cavaliers|$1.2 B|9%|17%|$233 M|$-40.2 M
41|2017|#12 |San Antonio Spurs|$1.175 B|2%|6%|$187 M|$18.4 M
42|2017|#13 |Toronto Raptors|$1.125 B|15%|10%|$193 M|$46.1 M
43|2017|#14 |Phoenix Suns|$1.1 B|10%|17%|$173 M|$26.3 M
44|2017|#15 |Sacramento Kings|$1.075 B|16%|47%|$164 M|$18.4 M
45|2017|#16 |Portland Trail Blazers|$1.05 B|8%|10%|$178 M|$41.2 M
46|2017|#17 |Oklahoma City Thunder|$1.025 B|8%|14%|$187 M|$-8.4 M
47|2017|#18 |Washington Wizards|$1 B|4%|13%|$155 M|$6.6 M
48|2017|#19 |Orlando Magic|$920 M|2%|16%|$166 M|$44.7 M
49|2017|#20 |Utah Jazz|$910 M|4%|8%|$164 M|$36 M
50|2017|#21 |Detroit Pistons|$900 M|6%|21%|$172 M|$21.8 M
51|2017|#22 |Denver Nuggets|$890 M|4%|0%|$157 M|$21.2 M
52|2017|#23 |Atlanta Hawks|$885 M|7%|28%|$169 M|$19.8 M
53|2017|#24 |Indiana Pacers|$880 M|5%|17%|$157 M|$23.9 M
54|2017|#25 |Philadelphia 76ers|$800 M|14%|19%|$140 M|$18.2 M
55|2017|#26 |Memphis Grizzlies|$790 M|1%|22%|$155 M|$200 K
56|2017|#27 |Milwaukee Bucks|$785 M|16%|54%|$146 M|$24 M
57|2017|#28 |Charlotte Hornets|$780 M|4%|19%|$158 M|$9.4 M
58|2017|#29 |Minnesota Timberwolves|$770 M|7%|18%|$154 M|$25.9 M
59|2017|#30 |New Orleans Pelicans|$750 M|15%|17%|$156 M|$16.7 M
60|2018|#1 |New York Knicks|$3.6 B|9%|1%|$426 M|$140 M
61|2018|#2 |Los Angeles Lakers|$3.3 B|10%|1%|$371 M|$136 M
62|2018|#3 |Golden State Warriors|$3.1 B|19%|24%|$359 M|$120 M
63|2018|#4 |Chicago Bulls|$2.6 B|4%|3%|$281 M|$95 M
64|2018|#5 |Boston Celtics|$2.5 B|14%|6%|$257 M|$85 M
65|2018|#6 |Brooklyn Nets|$2.3 B|28%|11%|$273 M|$52 M
66|2018|#7 |Houston Rockets|$2.2 B|33%|8%|$296 M|$95 M
67|2018|#8 |Los Angeles Clippers|$2.15 B|7%|0%|$257 M|$35 M
68|2018|#9 |Dallas Mavericks|$1.9 B|31%|5%|$233 M|$21 M
69|2018|#10 |Miami Heat|$1.7 B|26%|21%|$253 M|$63 M
70|2018|#11 |San Antonio Spurs|$1.55 B|32%|5%|$259 M|$59 M
71|2018|#12 |Toronto Raptors|$1.4 B|24%|8%|$250 M|$51 M
72|2018|#13 |Sacramento Kings|$1.375 B|28%|38%|$240 M|$50 M
73|2018|#14 |Washington Wizards|$1.35 B|35%|9%|$222 M|$21 M
74|2018|#15 |Cleveland Cavaliers|$1.325 B|10%|15%|$280 M|$-6.2 M
75|2018|#16 |Portland Trail Blazers|$1.3 B|24%|8%|$223 M|$25 M
76|2018|#17 |Phoenix Suns|$1.28 B|16%|14%|$218 M|$31 M
77|2018|#18 |Oklahoma City Thunder|$1.25 B|22%|11%|$222 M|$64 M
78|2018|#19 |Orlando Magic|$1.225 B|33%|12%|$211 M|$39 M
79|2018|#20 |Utah Jazz|$1.2 B|32%|6%|$221 M|$61 M
80|2018|#21 |Philadelphia 76ers|$1.18 B|48%|13%|$184 M|$40 M
81|2018|#22 |Indiana Pacers|$1.175 B|34%|11%|$205 M|$29 M
82|2018|#23 |Atlanta Hawks|$1.15 B|30%|22%|$209 M|$22 M
83|2018|#24 |Denver Nuggets|$1.125 B|26%|0%|$202 M|$49 M
84|2018|#25 |Detroit Pistons|$1.1 B|22%|14%|$221 M|$22 M
85|2018|#26 |Milwaukee Bucks|$1.075 B|37%|40%|$179 M|$20 M
86|2018|#27 |Minnesota Timberwolves|$1.06 B|38%|13%|$204 M|$53 M
87|2018|#28 |Charlotte Hornets|$1.05 B|35%|14%|$202 M|$21 M
88|2018|#29 |Memphis Grizzlies|$1.025 B|30%|24%|$206 M|$15 M
89|2018|#30 |New Orleans Pelicans|$1 B|33%|12%|$204 M|$37 M
90|2019|#1 |New York Knicks|$4 B|11%|1%|$443 M|$155 M
91|2019|#2 |Los Angeles Lakers|$3.7 B|12%|1%|$395 M|$147 M
92|2019|#3 |Golden State Warriors|$3.5 B|13%|23%|$401 M|$103 M
93|2019|#4 |Chicago Bulls|$2.9 B|12%|3%|$287 M|$114 M
94|2019|#5 |Boston Celtics|$2.8 B|12%|6%|$287 M|$100 M
95|2019|#6 |Brooklyn Nets|$2.35 B|2%|9%|$290 M|$53 M
96|2019|#7 |Houston Rockets|$2.3 B|5%|8%|$326 M|$103 M
97|2019|#8 |Dallas Mavericks|$2.25 B|18%|10%|$287 M|$99 M
98|2019|#9 |Los Angeles Clippers|$2.2 B|2%|0%|$258 M|$40 M
99|2019|#10 |Miami Heat|$1.75 B|3%|23%|$259 M|$40 M
100|2019|#11 |Toronto Raptors|$1.675 B|20%|7%|$275 M|$76 M
101|2019|#12 |Philadelphia 76ers|$1.65 B|40%|6%|$268 M|$68 M
102|2019|#13 |San Antonio Spurs|$1.625 B|5%|6%|$262 M|$63 M
103|2019|#14 |Portland Trail Blazers|$1.6 B|23%|8%|$246 M|$40 M
104|2019|#15 |Sacramento Kings|$1.575 B|15%|34%|$263 M|$72 M
105|2019|#16 |Washington Wizards|$1.55 B|15%|8%|$255 M|$34 M
106|2019|#17 |Phoenix Suns|$1.5 B|17%|12%|$235 M|$47 M
107|2019|#18 |Oklahoma City Thunder|$1.475 B|18%|9%|$241 M|$10 M
108|2019|#19 |Utah Jazz|$1.425 B|19%|7%|$243 M|$59 M
109|2019|#20 |Indiana Pacers|$1.4 B|19%|9%|$222 M|$50 M
110|2019|#21 |Denver Nuggets|$1.375 B|22%|0%|$222 M|$47 M
111|2019|#22 |Milwaukee Bucks|$1.35 B|26%|31%|$204 M|$25 M
112|2019|#23 |Orlando Magic|$1.325 B|8%|11%|$223 M|$64 M
113|2019|#24 |Atlanta Hawks|$1.3 B|13%|19%|$215 M|$42 M
114|2019|#25 |Cleveland Cavaliers|$1.275 B|-4%|16%|$302 M|$-13 M
115|2019|#26 |Detroit Pistons|$1.27 B|15%|12%|$235 M|$52 M
116|2019|#27 |Minnesota Timberwolves|$1.26 B|19%|12%|$223 M|$47 M
117|2019|#28 |Charlotte Hornets|$1.25 B|19%|12%|$213 M|$22 M
118|2019|#29 |New Orleans Pelicans|$1.22 B|22%|14%|$214 M|$29 M
119|2019|#30 |Memphis Grizzlies|$1.2 B|17%|27%|$213 M|$27 M
120|2020|#1 |New York Knicks|$4.6 B|15%|1%|$472 M|$157 M
121|2020|#2 |Los Angeles Lakers|$4.4 B|19%|0%|$434 M|$178 M
122|2020|#3 |Golden State Warriors|$4.3 B|23%|18%|$440 M|$109 M
123|2020|#4 |Chicago Bulls|$3.2 B|10%|3%|$301 M|$103 M
124|2020|#5 |Boston Celtics|$3.1 B|11%|3%|$304 M|$88 M
125|2020|#6 |Los Angeles Clippers|$2.6 B|18%|0%|$282 M|$73 M
126|2020|#7 |Brooklyn Nets|$2.5 B|6%|8%|$304 M|$42 M
127|2020|#8 |Houston Rockets|$2.475 B|8%|7%|$348 M|$110 M
128|2020|#9 |Dallas Mavericks|$2.4 B|7%|4%|$307 M|$105 M
129|2020|#10 |Toronto Raptors|$2.1 B|25%|5%|$334 M|$79 M
130|2020|#11 |Philadelphia 76ers|$2 B|21%|5%|$300 M|$90 M
131|2020|#12 |Miami Heat|$1.95 B|11%|21%|$294 M|$58 M
132|2020|#13 |Portland Trail Blazers|$1.85 B|16%|7%|$287 M|$51 M
133|2020|#14 |San Antonio Spurs|$1.8 B|11%|6%|$285 M|$66 M
134|2020|#15 |Sacramento Kings|$1.775 B|13%|30%|$286 M|$81 M
135|2020|#16 |Washington Wizards|$1.75 B|13%|8%|$269 M|$55 M
136|2020|#17 |Phoenix Suns|$1.625 B|8%|11%|$246 M|$42 M
137|2020|#18 |Denver Nuggets|$1.6 B|16%|0%|$252 M|$52 M
138|2020|#19 |Milwaukee Bucks|$1.58 B|17%|17%|$283 M|$69 M
139|2020|#20 |Oklahoma City Thunder|$1.575 B|7%|9%|$258 M|$-23 M
140|2020|#21 |Utah Jazz|$1.55 B|9%|6%|$258 M|$63 M
141|2020|#22 |Indiana Pacers|$1.525 B|9%|13%|$243 M|$55 M
142|2020|#23 |Atlanta Hawks|$1.52 B|17%|16%|$251 M|$78 M
143|2020|#24 |Cleveland Cavaliers|$1.51 B|18%|13%|$300 M|$39 M
144|2020|#25 |Charlotte Hornets|$1.5 B|20%|10%|$240 M|$39 M
145|2020|#26 |Detroit Pistons|$1.45 B|14%|10%|$255 M|$52 M
146|2020|#27 |Orlando Magic|$1.43 B|8%|10%|$244 M|$70 M
147|2020|#28 |Minnesota Timberwolves|$1.375 B|9%|11%|$234 M|$46 M
148|2020|#29 |New Orleans Pelicans|$1.35 B|11%|13%|$224 M|$49 M
149|2020|#30 |Memphis Grizzlies|$1.3 B|8%|25%|$224 M|$24 M
