team|date|likes|talking_about|check_ins
 Charlotte Hornets|March 4, 2020|1,723,962 - (-229)|8,031 - (-1,356)|0 - (0)
 Charlotte Hornets|March 1, 2020|1,724,191 - (-270)|9,387 - (-1,120)|0 - (0)
 Charlotte Hornets|February 27, 2020|1,724,461 - (-1,394)|10,507 - (+1,972)|0 - (0)
 Charlotte Hornets|February 24, 2020|1,725,855 - (-1,098)|8,535 - (-4,116)|0 - (0)
 Charlotte Hornets|February 21, 2020|1,726,953 - (-247)|12,651 - (-844)|0 - (0)
 Charlotte Hornets|February 18, 2020|1,727,200 - (-211)|13,495 - (+3,180)|0 - (0)
 Charlotte Hornets|February 15, 2020|1,727,411 - (-187)|10,315 - (+1,605)|0 - (0)
 Charlotte Hornets|February 12, 2020|1,727,598 - (-347)|8,710 - (-1,332)|0 - (0)
 Charlotte Hornets|February 9, 2020|1,727,945 - (-280)|10,042 - (+39)|0 - (0)
 Charlotte Hornets|February 6, 2020|1,728,225 - (-193)|10,003 - (-14,897)|0 - (0)
 Charlotte Hornets|February 3, 2020|1,728,418 - (-13,059)|24,900 - (+22,733)|0 - (0)
 Charlotte Hornets|September 3, 2019|1,741,477 - (-310)|2,167 - (-303)|0 - (0)
 Charlotte Hornets|August 31, 2019|1,741,787 - (-349)|2,470 - (+188)|0 - (0)
 Charlotte Hornets|August 28, 2019|1,742,136 - (-370)|2,282 - (-1,284)|0 - (0)
 Charlotte Hornets|August 25, 2019|1,742,506 - (-295)|3,566 - (-327)|0 - (0)
 Charlotte Hornets|August 22, 2019|1,742,801 - (-364)|3,893 - (+203)|0 - (0)
 Charlotte Hornets|August 19, 2019|1,743,165 - (-301)|3,690 - (-1,245)|0 - (0)
 Charlotte Hornets|August 16, 2019|1,743,466 - (-399)|4,935 - (+319)|0 - (0)
 Charlotte Hornets|August 13, 2019|1,743,865 - (-296)|4,616 - (+563)|0 - (0)
 Charlotte Hornets|August 10, 2019|1,744,161 - (-339)|4,053 - (-1,355)|0 - (0)
 Charlotte Hornets|August 7, 2019|1,744,500 - (-325)|5,408 - (-186)|0 - (0)
 Charlotte Hornets|August 4, 2019|1,744,825 - (-230)|5,594 - (+1,098)|0 - (0)
 Charlotte Hornets|August 1, 2019|1,745,055 - (-259)|4,496 - (+1,923)|0 - (0)
 Charlotte Hornets|July 29, 2019|1,745,314 - (-279)|2,573 - (-792)|0 - (0)
 Charlotte Hornets|July 26, 2019|1,745,593 - (-291)|3,365 - (-942)|0 - (0)
 Charlotte Hornets|July 23, 2019|1,745,884 - (-142)|4,307 - (-998)|0 - (0)
 Charlotte Hornets|July 20, 2019|1,746,026 - (-308)|5,305 - (-153)|0 - (0)
 Charlotte Hornets|July 17, 2019|1,746,334 - (-259)|5,458 - (-4,679)|0 - (0)
 Charlotte Hornets|July 14, 2019|1,746,593 - (-226)|10,137 - (-2,266)|0 - (0)
 Charlotte Hornets|July 11, 2019|1,746,819 - (-313)|12,403 - (+2,238)|0 - (0)
 Charlotte Hornets|July 8, 2019|1,747,132 - (-281)|10,165 - (+6,045)|0 - (0)
 Charlotte Hornets|July 5, 2019|1,747,413 - (-344)|4,120 - (+436)|0 - (0)
 Charlotte Hornets|July 2, 2019|1,747,757 - (-236)|3,684 - (-767)|0 - (0)
 Charlotte Hornets|June 29, 2019|1,747,993 - (-214)|4,451 - (-3,325)|0 - (0)
 Charlotte Hornets|June 26, 2019|1,748,207 - (-275)|7,776 - (+394)|0 - (0)
 Charlotte Hornets|June 23, 2019|1,748,482 - (-217)|7,382 - (+3,528)|0 - (0)
 Charlotte Hornets|June 20, 2019|1,748,699 - (-429)|3,854 - (+840)|0 - (0)
 Charlotte Hornets|June 17, 2019|1,749,128 - (-1,280)|3,014 - (-1,583)|0 - (0)
 Charlotte Hornets|June 14, 2019|1,750,408 - (-488)|4,597 - (+500)|0 - (0)
 Charlotte Hornets|June 11, 2019|1,750,896 - (-454)|4,097 - (+270)|0 - (0)
 Charlotte Hornets|June 8, 2019|1,751,350 - (-549)|3,827 - (-1,710)|0 - (0)
 Charlotte Hornets|June 5, 2019|1,751,899 - (-450)|5,537 - (+162)|0 - (0)
 Charlotte Hornets|June 2, 2019|1,752,349 - (-420)|5,375 - (+2,516)|0 - (0)
 Charlotte Hornets|May 30, 2019|1,752,769 - (-388)|2,859 - (-1,151)|0 - (0)
 Charlotte Hornets|May 27, 2019|1,753,157 - (-377)|4,010 - (-441)|0 - (0)
 Charlotte Hornets|May 24, 2019|1,753,534 - (-350)|4,451 - (+885)|0 - (0)
 Charlotte Hornets|May 21, 2019|1,753,884 - (-312)|3,566 - (-1,848)|0 - (0)
 Charlotte Hornets|May 18, 2019|1,754,196 - (-390)|5,414 - (+534)|0 - (0)
 Charlotte Hornets|May 15, 2019|1,754,586 - (-341)|4,880 - (+1,468)|0 - (0)
 Charlotte Hornets|May 12, 2019|1,754,927 - (-305)|3,412 - (+62)|0 - (0)
 Charlotte Hornets|May 9, 2019|1,755,232 - (-380)|3,350 - (-2,359)|0 - (0)
 Charlotte Hornets|May 6, 2019|1,755,612 - (-308)|5,709 - (+188)|0 - (0)
 Charlotte Hornets|May 3, 2019|1,755,920 - (-221)|5,521 - (+5,521)|0 - (0)
 Charlotte Hornets|April 30, 2019|1,756,141 - (-364)|0 - (0)|0 - (0)
 Charlotte Hornets|April 27, 2019|1,756,505 - (-342)|0 - (0)|0 - (0)
 Charlotte Hornets|April 24, 2019|1,756,847 - (-189)|0 - (0)|0 - (0)
 Charlotte Hornets|April 21, 2019|1,757,036 - (-235)|0 - (0)|0 - (0)
 Charlotte Hornets|April 18, 2019|1,757,271 - (-224)|0 - (0)|0 - (0)
 Charlotte Hornets|April 15, 2019|1,757,495 - (-1,157)|0 - (0)|0 - (0)
 Charlotte Hornets|April 12, 2019|1,758,652 - (+30)|0 - (-16,621)|0 - (0)
 Charlotte Hornets|April 9, 2019|1,758,622 - (-11)|16,621 - (+2,766)|0 - (0)
 Charlotte Hornets|April 6, 2019|1,758,633 - (+13)|13,855 - (-364)|0 - (0)
 Charlotte Hornets|April 3, 2019|1,758,620 - (+120)|14,219 - (-11,368)|0 - (0)
 Charlotte Hornets|March 31, 2019|1,758,500 - (+117)|25,587 - (-18,798)|0 - (0)
 Charlotte Hornets|March 28, 2019|1,758,383 - (+287)|44,385 - (+7,872)|0 - (0)
 Charlotte Hornets|March 25, 2019|1,758,096 - (+617)|36,513 - (+27,216)|0 - (0)
 Charlotte Hornets|March 22, 2019|1,757,479 - (+261)|9,297 - (-225)|0 - (0)
 Charlotte Hornets|March 19, 2019|1,757,218 - (-144)|9,522 - (-1,749)|0 - (0)
 Charlotte Hornets|March 16, 2019|1,757,362 - (-58)|11,271 - (-1,046)|0 - (0)
 Charlotte Hornets|March 13, 2019|1,757,420 - (+48)|12,317 - (-3,497)|0 - (0)
 Charlotte Hornets|March 10, 2019|1,757,372 - (-300)|15,814 - (-7,647)|0 - (0)
 Charlotte Hornets|March 7, 2019|1,757,672 - (+78)|23,461 - (-6,809)|0 - (0)
 Charlotte Hornets|March 4, 2019|1,757,594 - (+385)|30,270 - (+12,574)|0 - (0)
 Charlotte Hornets|March 1, 2019|1,757,209 - (+323)|17,696 - (+6,558)|0 - (0)
 Charlotte Hornets|February 26, 2019|1,756,886 - (-66)|11,138 - (-3,647)|0 - (0)
 Charlotte Hornets|February 23, 2019|1,756,952 - (-91)|14,785 - (-1,036)|0 - (0)
 Charlotte Hornets|February 20, 2019|1,757,043 - (-69)|15,821 - (+491)|0 - (0)
 Charlotte Hornets|February 17, 2019|1,757,112 - (-105)|15,330 - (-1,249)|0 - (0)
 Charlotte Hornets|February 14, 2019|1,757,217 - (-63)|16,579 - (-3,145)|0 - (0)
 Charlotte Hornets|February 11, 2019|1,757,280 - (-38)|19,724 - (-5,550)|0 - (0)
 Charlotte Hornets|February 8, 2019|1,757,318 - (-123)|25,274 - (-4,300)|0 - (0)
 Charlotte Hornets|February 5, 2019|1,757,441 - (+319)|29,574 - (-2,490)|0 - (0)
 Charlotte Hornets|February 2, 2019|1,757,122 - (+10)|32,064 - (-1,898)|0 - (0)
 Charlotte Hornets|January 30, 2019|1,757,112 - (-51)|33,962 - (+12,423)|0 - (0)
 Charlotte Hornets|January 27, 2019|1,757,163 - (+79)|21,539 - (+15,975)|0 - (0)
 Charlotte Hornets|January 24, 2019|1,757,084 - (-278)|5,564 - (-1,792)|0 - (0)
 Charlotte Hornets|January 21, 2019|1,757,362 - (-239)|7,356 - (+2,155)|0 - (0)
 Charlotte Hornets|January 18, 2019|1,757,601 - (-192)|5,201 - (-230)|0 - (0)
 Charlotte Hornets|January 15, 2019|1,757,793 - (-133)|5,431 - (-1,933)|0 - (0)
 Charlotte Hornets|January 12, 2019|1,757,926 - (-166)|7,364 - (-2,416)|0 - (0)
 Charlotte Hornets|January 9, 2019|1,758,092 - (-99)|9,780 - (-2,107)|0 - (0)
 Charlotte Hornets|January 6, 2019|1,758,191 - (-136)|11,887 - (-444)|0 - (0)
 Charlotte Hornets|January 3, 2019|1,758,327 - (-74)|12,331 - (+4,117)|0 - (0)
 Charlotte Hornets|December 31, 2018|1,758,401 - (-84)|8,214 - (+2,200)|0 - (0)
 Charlotte Hornets|December 28, 2018|1,758,485 - (-189)|6,014 - (-583)|0 - (0)
 Charlotte Hornets|December 25, 2018|1,758,674 - (-122)|6,597 - (-1,846)|0 - (0)
 Charlotte Hornets|December 22, 2018|1,758,796 - (-144)|8,443 - (-2,305)|0 - (0)
 Charlotte Hornets|December 19, 2018|1,758,940 - (-69)|10,748 - (+955)|0 - (0)
 Charlotte Hornets|December 16, 2018|1,759,009 - (+66)|9,793 - (+3,401)|0 - (0)
 Charlotte Hornets|December 13, 2018|1,758,943 - (-55)|6,392 - (+780)|0 - (0)
 Charlotte Hornets|December 10, 2018|1,758,998 - (-57)|5,612 - (-877)|0 - (0)
 Charlotte Hornets|December 7, 2018|1,759,055 - (-136)|6,489 - (-1,444)|0 - (0)
 Charlotte Hornets|December 4, 2018|1,759,191 - (+12)|7,933 - (+576)|0 - (0)
 Charlotte Hornets|December 1, 2018|1,759,179 - (+12)|7,357 - (-6,895)|0 - (0)
 Charlotte Hornets|November 28, 2018|1,759,167 - (-123)|14,252 - (-8,357)|0 - (0)
 Charlotte Hornets|November 25, 2018|1,759,290 - (-92)|22,609 - (+1,202)|0 - (0)
 Charlotte Hornets|November 22, 2018|1,759,382 - (+378)|21,407 - (+12,713)|0 - (0)
 Charlotte Hornets|November 19, 2018|1,759,004 - (+332)|8,694 - (+2,471)|0 - (0)
 Charlotte Hornets|November 16, 2018|1,758,672 - (-42)|6,223 - (-2,953)|0 - (0)
 Charlotte Hornets|November 13, 2018|1,758,714 - (+80)|9,176 - (+43)|0 - (0)
 Charlotte Hornets|November 10, 2018|1,758,634 - (+28)|9,133 - (+1,318)|0 - (0)
 Charlotte Hornets|November 7, 2018|1,758,606 - (-28)|7,815 - (+256)|0 - (0)
 Charlotte Hornets|November 4, 2018|1,758,634 - (+51)|7,559 - (+318)|0 - (0)
 Charlotte Hornets|November 1, 2018|1,758,583 - (+100)|7,241 - (-332)|0 - (0)
 Charlotte Hornets|October 29, 2018|1,758,483 - (+177)|7,573 - (-3,818)|0 - (0)
 Charlotte Hornets|October 26, 2018|1,758,306 - (+49)|11,391 - (-1,634)|0 - (0)
 Charlotte Hornets|October 23, 2018|1,758,257 - (+177)|13,025 - (+4,960)|0 - (0)
 Charlotte Hornets|October 20, 2018|1,758,080 - (+175)|8,065 - (+2,374)|0 - (0)
 Charlotte Hornets|October 17, 2018|1,757,905 - (-223)|5,691 - (+1,231)|0 - (0)
 Charlotte Hornets|October 14, 2018|1,758,128 - (-92)|4,460 - (-346)|0 - (0)
 Charlotte Hornets|October 11, 2018|1,758,220 - (-243)|4,806 - (-738)|0 - (0)
 Charlotte Hornets|October 8, 2018|1,758,463 - (-342)|5,544 - (-2,607)|0 - (0)
 Charlotte Hornets|October 5, 2018|1,758,805 - (-325)|8,151 - (-1,881)|0 - (0)
 Charlotte Hornets|October 2, 2018|1,759,130 - (+53)|10,032 - (-2,920)|0 - (0)
 Charlotte Hornets|September 29, 2018|1,759,077 - (+239)|12,952 - (+902)|0 - (0)
 Charlotte Hornets|September 26, 2018|1,758,838 - (+62)|12,050 - (+1,858)|0 - (0)
 Charlotte Hornets|September 23, 2018|1,758,776 - (-100)|10,192 - (-2,747)|0 - (0)
 Charlotte Hornets|September 20, 2018|1,758,876 - (-151)|12,939 - (+1,740)|0 - (0)
 Charlotte Hornets|September 17, 2018|1,759,027 - (+168)|11,199 - (+7,684)|0 - (0)
 Charlotte Hornets|September 14, 2018|1,758,859 - (-875)|3,515 - (+841)|0 - (0)
 Charlotte Hornets|September 11, 2018|1,759,734 - (-316)|2,674 - (+398)|0 - (0)
 Charlotte Hornets|September 8, 2018|1,760,050 - (-375)|2,276 - (-1,158)|0 - (0)
 Charlotte Hornets|September 5, 2018|1,760,425 - (-222)|3,434 - (-974)|0 - (0)
 Charlotte Hornets|September 2, 2018|1,760,647 - (-318)|4,408 - (+1,192)|0 - (0)
 Charlotte Hornets|August 30, 2018|1,760,965 - (-288)|3,216 - (+1,134)|0 - (0)
 Charlotte Hornets|August 27, 2018|1,761,253 - (-257)|2,082 - (-1,845)|0 - (0)
 Charlotte Hornets|August 24, 2018|1,761,510 - (-251)|3,927 - (-728)|0 - (0)
 Charlotte Hornets|August 21, 2018|1,761,761 - (-269)|4,655 - (+104)|0 - (0)
 Charlotte Hornets|August 18, 2018|1,762,030 - (-110)|4,551 - (+1,618)|0 - (0)
 Charlotte Hornets|August 15, 2018|1,762,140 - (-298)|2,933 - (-297)|0 - (0)
 Charlotte Hornets|August 12, 2018|1,762,438 - (-237)|3,230 - (-172)|0 - (0)
 Charlotte Hornets|August 9, 2018|1,762,675 - (-344)|3,402 - (-594)|0 - (0)
 Charlotte Hornets|August 6, 2018|1,763,019 - (-366)|3,996 - (-1,739)|0 - (0)
 Charlotte Hornets|August 3, 2018|1,763,385 - (-340)|5,735 - (-4,936)|0 - (0)
 Charlotte Hornets|July 31, 2018|1,763,725 - (-328)|10,671 - (-3,231)|0 - (0)
 Charlotte Hornets|July 28, 2018|1,764,053 - (-229)|13,902 - (+5,356)|0 - (0)
 Charlotte Hornets|July 25, 2018|1,764,282 - (-83)|8,546 - (+5,036)|0 - (0)
 Charlotte Hornets|July 22, 2018|1,764,365 - (-302)|3,510 - (-839)|0 - (0)
 Charlotte Hornets|July 19, 2018|1,764,667 - (-233)|4,349 - (+82)|0 - (0)
 Charlotte Hornets|July 16, 2018|1,764,900 - (-215)|4,267 - (-5,201)|0 - (0)
 Charlotte Hornets|July 13, 2018|1,765,115 - (-349)|9,468 - (-3,831)|0 - (0)
 Charlotte Hornets|July 10, 2018|1,765,464 - (-116)|13,299 - (+2,317)|0 - (0)
 Charlotte Hornets|July 7, 2018|1,765,580 - (-100)|10,982 - (+6,459)|0 - (0)
 Charlotte Hornets|July 4, 2018|1,765,680 - (-274)|4,523 - (-1,020)|0 - (0)
 Charlotte Hornets|July 1, 2018|1,765,954 - (-388)|5,543 - (-9,463)|0 - (0)
 Charlotte Hornets|June 28, 2018|1,766,342 - (-462)|15,006 - (+1,668)|0 - (0)
